Time(ms),CO2(ppm)
410626,981.25
411637,1061.41
412649,1054.22
413661,1073.44
414670,1065.94
415682,1046.25
416694,1003.59
417705,982.03
418715,967.5
419727,987.03
420739,1028.13
421750,1044.69
422760,1060.16
423772,1071.09
424783,1012.5
425795,970.31
426805,994.69
427816,963.59
428828,1014.84
429840,1063.44
430850,1062.34
431861,1055.94
432873,1053.91
433885,985.63
434896,989.69
435906,985.78
436918,1000.16
437929,1050.94
438941,1059.69
439951,1067.34
440963,1069.53
441974,933.59
442986,971.72
443996,981.09
445007,954.06
446019,1062.5
447031,1063.44
448040,1075.78
449052,1078.75
450064,948.91
451076,958.13
452085,969.06
453097,998.91
454109,1067.03
455120,1076.09
456130,1066.56
457142,1066.72
458153,973.59
459165,950.16
460175,992.03
461187,942.34
462198,1053.91
463210,1055.94
464220,1059.84
465231,1073.91
466243,1033.44
467255,969.38
468264,972.5
469276,976.56
470288,1042.97
471300,1051.72
472309,1059.06
473321,1058.44
474333,1002.03
475344,981.25
476356,992.03
477366,978.59
478377,1009.22
479389,1042.81
480401,1049.06
481411,1051.41
482422,1045.31
483434,959.69
484446,984.84
485455,1003.28
486467,991.72
487479,1048.28
488491,1045.94
489500,1058.28
490512,1059.38
491524,1028.44
492535,1000.78
493545,959.84
494557,980.94
495568,1019.84
496580,1056.88
497590,1054.22
498601,1060.63
499613,1060.94
500625,965.47
501637,972.66
502646,941.25
503658,953.75
504670,1052.19
505681,1058.13
506691,1057.34
507703,1057.97
508715,972.66
509726,950.16
510736,956.56
511748,1007.97
512759,1052.5
513771,1059.06
514781,1054.53
515792,1063.44
516804,986.88
517816,999.69
518825,987.66
519837,985.94
520849,1058.28
521861,1062.66
522870,1066.09
523882,1061.09
524894,1007.66
525905,972.19
526915,952.03
527927,992.81
528939,1053.91
529950,1055
530960,1065.31
531972,1062.5
532983,1027.66
533995,962.03
535005,991.72
536016,926.09
537028,990.47
538040,1055.47
539049,1059.84
540061,1062.34
541073,1068.44
542085,989.06
543096,972.03
544106,982.03
545118,968.91
546129,1049.06
547139,1060.16
548151,1065.31
549163,1065.47
550174,1043.13
551186,988.44
552196,993.13
553207,946.41
554219,1034.84
555231,1050.47
556240,1054.22
557252,1058.75
558264,1033.28
559276,968.91
560285,991.25
561297,1010.47
562309,1036.41
563320,1052.81
564330,1063.28
565342,1054.84
566353,1006.56
567365,995.16
568377,980
569387,948.44
570398,1062.19
571410,1059.38
572422,1062.03
573431,1067.03
574443,1007.81
575455,972.66
576466,983.44
577476,997.19
578488,1057.34
579500,1068.59
580511,1063.13
581521,993.44
582533,974.22
583544,991.25
584556,1004.53
585566,1057.97
586577,1060.78
587589,1070.78
